Address:,USB0::0x0957::0x179B::MY59127587::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.007187500285,0.0178525053488556,0.230578067479655,
,,,-0.0071354169525,0.0112595401296858,0.238216256489977,
,,,-0.00708333362,0.00466657491051592,0.224849425721914,
,,,-0.0070312502875,-0.00151432998245582,0.226758972974494,
,,,-0.006979166955,-0.00728317454922944,0.21339214220643,
,,,-0.0069270836225,-0.0134640794422012,0.242035350995138,
,,,-0.00687500029,-0.0192329240089748,0.245854445500299,
,,,-0.0068229169575,-0.0250017685757484,0.21339214220643,
,,,-0.006770833625,-0.0303585528163239,0.228668520227075,
,,,-0.0067187502925,-0.0357153370568994,0.264949918026105,
,,,-0.00666666696,-0.0406600609712768,0.259221276268363,
,,,-0.0066145836275,-0.0456047848856542,0.266859465278685,
,,,-0.006562500295,-0.0505495088000316,0.280226296046749,
,,,-0.0065104169625,-0.0550821723882109,0.28595493780449,
,,,-0.00645833363,-0.0592027756501921,0.272588107036427,
,,,-0.0064062502975,-0.0637354392383713,0.303140863077715,
,,,-0.006354166965,-0.0678560425003525,0.266859465278685,
,,,-0.0063020836325,-0.0715645854361355,0.305050410330296,
,,,-0.0062500003,-0.0752731283719186,0.287864485057071,
,,,-0.0061979169675,-0.0789816713077016,0.274497654289007,
,,,-0.006145833635,-0.0822781539172865,0.257311729015782,
,,,-0.0060937503025,-0.0855746365268715,0.253492634510621,
,,,-0.00604166697,-0.0888711191364564,0.186658480670303,
,,,-0.0059895836375,-0.0917555414198432,0.219120783964172,
,,,-0.005937500305,-0.09463996370323,0.224849425721914,
,,,-0.0058854169725,-0.0975243859866168,0.182839386165142,
,,,-0.00583333364,-0.0999967479438055,0.184748933417723,
,,,-0.0057812503075,-0.102057049574796,0.163743913639337,
,,,-0.005729166975,-0.104117351205787,0.188568027922884,
,,,-0.0056770836425,-0.106177652836777,0.161834366386756,
,,,-0.00562500031,-0.10782589414157,0.161834366386756,
